Id,preco
0,123456.78
1,123456.78
2,123456.78
3,123456.78
4,123456.78
5,123456.78
6,123456.78
7,123456.78
8,123456.78
9,123456.78
10,123456.78
11,123456.78
12,123456.78
13,123456.78
14,123456.78
15,123456.78
16,123456.78
17,123456.78
18,123456.78
19,123456.78
20,123456.78
21,123456.78
22,123456.78
23,123456.78
24,123456.78
25,123456.78
26,123456.78
27,123456.78
28,123456.78
29,123456.78
30,123456.78
31,123456.78
32,123456.78
33,123456.78
34,123456.78
35,123456.78
36,123456.78
37,123456.78
38,123456.78
39,123456.78
40,123456.78
41,123456.78
42,123456.78
43,123456.78
44,123456.78
45,123456.78
46,123456.78
47,123456.78
48,123456.78
49,123456.78
50,123456.78
51,123456.78
52,123456.78
53,123456.78
54,123456.78
55,123456.78
56,123456.78
57,123456.78
58,123456.78
59,123456.78
60,123456.78
61,123456.78
62,123456.78
63,123456.78
64,123456.78
65,123456.78
66,123456.78
67,123456.78
68,123456.78
69,123456.78
70,123456.78
71,123456.78
72,123456.78
73,123456.78
74,123456.78
75,123456.78
76,123456.78
77,123456.78
78,123456.78
79,123456.78
80,123456.78
81,123456.78
82,123456.78
83,123456.78
84,123456.78
85,123456.78
86,123456.78
87,123456.78
88,123456.78
89,123456.78
90,123456.78
91,123456.78
92,123456.78
93,123456.78
94,123456.78
95,123456.78
96,123456.78
97,123456.78
98,123456.78
99,123456.78
100,123456.78
101,123456.78
102,123456.78
103,123456.78
104,123456.78
105,123456.78
106,123456.78
107,123456.78
108,123456.78
109,123456.78
110,123456.78
111,123456.78
112,123456.78
113,123456.78
114,123456.78
115,123456.78
116,123456.78
117,123456.78
118,123456.78
119,123456.78
120,123456.78
121,123456.78
122,123456.78
123,123456.78
124,123456.78
125,123456.78
126,123456.78
127,123456.78
128,123456.78
129,123456.78
130,123456.78
131,123456.78
132,123456.78
133,123456.78
134,123456.78
135,123456.78
136,123456.78
137,123456.78
138,123456.78
139,123456.78
140,123456.78
141,123456.78
142,123456.78
143,123456.78
144,123456.78
145,123456.78
146,123456.78
147,123456.78
148,123456.78
149,123456.78
150,123456.78
151,123456.78
152,123456.78
153,123456.78
154,123456.78
155,123456.78
156,123456.78
157,123456.78
158,123456.78
159,123456.78
160,123456.78
161,123456.78
162,123456.78
163,123456.78
164,123456.78
165,123456.78
166,123456.78
167,123456.78
168,123456.78
169,123456.78
170,123456.78
171,123456.78
172,123456.78
173,123456.78
174,123456.78
175,123456.78
176,123456.78
177,123456.78
178,123456.78
179,123456.78
180,123456.78
181,123456.78
182,123456.78
183,123456.78
184,123456.78
185,123456.78
186,123456.78
187,123456.78
188,123456.78
189,123456.78
190,123456.78
191,123456.78
192,123456.78
193,123456.78
194,123456.78
195,123456.78
196,123456.78
197,123456.78
198,123456.78
199,123456.78
200,123456.78
201,123456.78
202,123456.78
203,123456.78
204,123456.78
205,123456.78
206,123456.78
207,123456.78
208,123456.78
209,123456.78
210,123456.78
211,123456.78
212,123456.78
213,123456.78
214,123456.78
215,123456.78
216,123456.78
217,123456.78
218,123456.78
219,123456.78
220,123456.78
221,123456.78
222,123456.78
223,123456.78
224,123456.78
225,123456.78
226,123456.78
227,123456.78
228,123456.78
229,123456.78
230,123456.78
231,123456.78
232,123456.78
233,123456.78
234,123456.78
235,123456.78
236,123456.78
237,123456.78
238,123456.78
239,123456.78
240,123456.78
241,123456.78
242,123456.78
243,123456.78
244,123456.78
